symbol,timestamp,price_open,price_high,price_low,price_close,volume_traded,trades_count,is_Monday,is_Tuesday,is_Wednesday,is_Thursday,is_Friday,is_Saturday,is_Sunday,is_winter,is_spring,is_summer,is_autumn
BINANCEFTS_PERP_BCH_USDT,2021-11-24 00:00:00+00:00,571.42,620.65,558.66,618.97,519998.39400000003,340549.0,False,False,True,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-25 00:00:00+00:00,618.89,636.35,608.18,617.29,381936.453,250722.0,False,False,False,True,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-26 00:00:00+00:00,617.33,619.19,539.29,557.14,685167.0390000001,407565.0,False,False,False,False,True,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-27 00:00:00+00:00,557.13,573.62,555.0,562.73,174271.101,144800.0,False,False,False,False,False,True,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-28 00:00:00+00:00,562.73,569.42,530.25,569.04,263991.437,202649.0,False,False,False,False,False,False,True,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-29 00:00:00+00:00,569.05,581.63,556.91,574.94,267645.493,185612.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-30 00:00:00+00:00,575.02,587.56,557.22,570.57,327268.444,253363.0,False,True,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-12-01 00:00:00+00:00,570.67,586.91,565.19,570.71,238900.03199999995,178691.0,False,False,True,False,False,False,False,True,False,False,False
BINANCEFTS_PERP_BCH_USDT,2021-12-02 00:00:00+00:00,570.74,575.0,558.19,561.77,185616.885,155379.0,False,False,False,True,False,False,False,True,False,False,False
BINANCEFTS_PERP_BCH_USDT,2021-12-03 00:00:00+00:00,561.7,568.0,512.36,532.66,329582.88100000005,216727.0,False,False,False,False,True,False,False,True,False,False,False
BINANCEFTS_PERP_BCH_USDT,2021-12-04 00:00:00+00:00,532.6,534.61,338.33,472.86,994507.399,614071.0,False,False,False,False,False,True,False,True,False,False,False
BINANCEFTS_PERP_BCH_USDT,2021-12-05 00:00:00+00:00,473.01,477.79,434.31,453.28,439773.06999999995,323744.0,False,False,False,False,False,False,True,True,False,False,False
BINANCEFTS_PERP_BCH_USDT,2021-12-06 00:00:00+00:00,453.28,480.16,418.58,474.4,526554.927,373670.0,True,False,False,False,False,False,False,True,False,False,False
BINANCEFTS_PERP_BCH_USDT,2021-12-07 00:00:00+00:00,474.29,502.2,463.43,474.02,458331.51900000003,287386.0,False,True,False,False,False,False,False,True,False,False,False
BINANCEFTS_PERP_BCH_USDT,2021-12-08 00:00:00+00:00,474.06,487.76,463.1,480.28,389301.63800000004,249471.0,False,False,True,False,False,False,False,True,False,False,False
